Show,Genre,IA Identifier,,
Pappy Smith And His Hired Hands,Variety,,,
Passport For Adams,Drama,,,
Passport To Romance,Variety,,,
Pat Novak For Hire,Detective,https://archive.org/details/PatNovakForHire,,
Paul Whiteman's Christmas Party,Variety,,,
People Are Funny,Game Show,https://archive.org/details/PeopleAreFunny,,
Pete Kelly's Blues,Drama,,,
Philco Radio Time,Music,https://archive.org/details/PhilcoRadioTime,,
Philo Vance,Detective,https://archive.org/details/OTRR_Philo_Vance_Singles,,
Phoenix Sun Ranch Chuck Wagon,Western,,,
Phone Again Finnegan,Comedy,,,
Phyl Coe Radio Mysteries,Mystery,https://archive.org/details/PhylCoe,,
Pick And Pat,Variety,,,
Pitfall,Detective,,,
Plantation Jubilee,Variety,,,
Platter Theater,Unknown,,,
Pleasure Parade,Variety,,,
Point Sublime,Comedy,https://archive.org/details/PointSublime_731,,
Pop Goes The Question,Unknown,,,
Popeye The Sailor,Childrens,https://archive.org/details/PopeyeTheSailor,,
Pot O' Gold,Game Show,,,
Premier Performance,Unknown,,,
Presenting Charles Boyer,Romance,https://archive.org/details/PresentingCharlesBoyer,,
Princess Pat Plays,Unknown,,,
Private Showing,Unknown,,,
Professor Quiz,Game Show,,,
Prowl Car,Crime Drama,,,
Public Defender,Crime Drama,,,
Pursuit,Detective,,,
Quality Set To Music,Music,,,
Quick As A Flash,Game Show,,,
Quiet Please,Horror,https://archive.org/details/Quiet_Please,,
Radio Reader,Drama,,,
Rate Your Mate,Game Show,,,
Ray Herbeck Orchestra,Music,,,
Real Moments Of Romance,Romance,,,
Recollections At 30,Documentary,https://archive.org/details/Recollections_At_30,,
Red Ryder,Western,https://archive.org/details/rfmesser_centurylink,,
Red Skelton Show,Comedy,https://archive.org/details/RedSkeltonStrayAnimals,,
Redd Harper's Hollywood Roundup,Non-Fiction,,,
Request Performance,Variety,https://archive.org/details/RequestPerformance,,
Reveille Roundup,Variety,,,
Rex Allen Show,Music,,,
Riding High,Variety,,,
Ripley's Believe It Or Not,Documentary,,,
Rocky Fortune,Detective,https://archive.org/details/OTRR_Rocky_Fortune_Singles,,
Roger Kilgore Public Defender,Crime Drama,,,
Rogers Of The Gazette,Newspaper Drama,https://archive.org/details/Rogers_Of_The_Gazette,,
Romance In Rhythm,Music,,,
Romance Of The Ranchos,Western,https://archive.org/details/OTRR_Romance_Ranchos_Singles,,
San Francisco Final,Detective,,,
Saturday Night Serenade,Variety,,,
Saunders Of The Circle X,Western,,,
Say It With Words,Unknown,,,
Science Editor,Unknown,,,
Scout About Town,Talk Show,,,
Screen Mystery Club,Mystery,,,
Sealtest Variety Theater,Variety,https://archive.org/details/SealtestVarietyTheater,,
Sealtest Village Store,Comedy,https://archive.org/details/SealtestVillageStore19450117,,
Sears Mid Morning Matinee,Unknown,,,
Second Chance,Game Show,https://archive.org/details/Second_Chance,,
Second Generation,Non-Fiction,,,
Secret Agent K-7 Returns,Mystery,https://archive.org/details/SecretAgentK-7Returns,,
Security Agent Usa,Adventure,,,
Shadow Of Fu Manchu,Thriller,,,
Shaffer Parade,Music,,,
Shell Chateau,Music,https://archive.org/details/OTRR_Shell_Chateau_Singles,,
Sherlock Holmes,Detective,https://archive.org/details/OTR_Sherlock_Holmes_smurfmeat,,
Shirley Temple Time,Comedy,,,
Shorty Bell,Newspaper Drama,https://archive.org/details/Shorty_Bell_Cub_Reporter,,
Show Stoppers,Variety,,,
Show World,Non-Fiction,,,
Sigmund Spaeth's Music Quiz,Game Show,,,
Silent Men,Crime Drama,https://archive.org/details/TheSilentMen,,
Silver Theater,Anthology,https://archive.org/details/SilverTheater,,
Sing Along,Music,,,
Sing It Again,Music,,,
Singing In The Morning,Music,,,
Skip And Score,Game Show,,,
Sleep No More,Thriller,https://archive.org/details/Sleep_No_More,,
Smilin Ed's Buster Brown Gang,Comedy,https://archive.org/details/Buster_Brown_Gang,,
Snow Village Sketches,Comedy,,,
So You Think It's New,Documentary,,,
Socony Sketchbook,Variety,,,
Something For The Family,Unknown,,,
Something For The Girls,Variety,,,
Son Of Porthos,Drama,,,
Songs By Sinatra,Music,https://archive.org/details/SongsBySinatra451017FirstSongWhatMakesTheSunSet,,
Space Patrol,Science Fiction,https://archive.org/details/OTRR_Space_Patrol_Singles,,
Spectrum,Unknown,,,
Sports Digest,Sports,,,
Spotlight Album,Music,,,
Spotlight Revue,Variety,,,
Stage Career,Unknown,,,
Stage Struck,Variety,,,
Stairway To The Stars,Variety,,,
Stand Up And Be Counted,Unknown,,,
Star-spangled Banner,Unknown,,,
Starring Boris Karloff,Anthology,,,
Stars In The Spotlight,Unknown,,,
Stoopnagle And Budd,Comedy,https://archive.org/details/StoopnagleBuddIfWeSupervisedRadio15March1935Cbs,,
Stop Me If You've Heard This One,Comedy,,,
Stories From The American Scene,Drama,,,
Straight Arrow,Western,https://archive.org/details/StraightArrow,,
Strange,Thriller,,,
Stroke Of Fate,Drama,,,
Studio One,Anthology,https://archive.org/details/StudioOne,,
Styles By Simeone,Music,,,
Summer Stars,Unknown,,,
Surprise Endings,Unknown,,,
Suspense Story,Thriller,,,
Sweeney And March,Comedy,,,
Swinging Around The Clock,Music,,,
Symphonies For Youth,Music,,,
T-man,Crime Drama,https://archive.org/details/TMan-1Episode,,
Take It Or Leave It,Game Show,,,
Talent Theater,Variety,,,
Tales Of The Texas Rangers,Western,https://archive.org/details/TalesOfTheTexasRangers,,
Tales Of Tomorrow,Science Fiction,https://archive.org/details/Tales_Of_Tomorrow,,
Tales Of Willie Piper,Comedy,,,
Tarzan,Adventure,https://archive.org/details/Tarzan1951,,
Tell It Again,Drama,,,
Tell Me A Story,Drama,,,
Tell Your Neighbor,Non-Fiction,,,
Ten-two-four Ranch,Variety,,,
Tennessee Party Time,Unknown,,,
Texaco Star Theater,Variety,https://archive.org/details/FredAllen-texacoStarTheater1941-1944,,
Texaco Star Theater Summer Show,Variety,,,
That Brewster Boy,Comedy,,,
That Hammer Guy,Drama,https://archive.org/details/ThatHammerGuy,,
That's Rich,Comedy,https://archive.org/details/ThatsRich,,
The Abbott And Costello Show,Comedy,https://archive.org/details/Abbott_And_Costello_otr,,
The Abe Burrows Show,Comedy,https://archive.org/details/PublicDomainTheAbeBurrowsShow,,
The Adventures Of Annie Oakley And Tagg,Western,,,
The Adventures Of Babe Ruth,Documentary,https://archive.org/details/Babe_Ruth,,
The Adventures Of Charlie Lung,Western,,,
The Adventures Of Christopher London,Detective,https://archive.org/details/ChristopherLondon,,
The Adventures Of Ellery Queen,Mystery,https://archive.org/details/ElleryQueen,,
The Adventures Of Father Brown,Detective,https://archive.org/details/TheAdventuresOfFatherBrown,,
The Adventures Of Frank Merriwell,Drama,https://archive.org/details/AdventuresofFrankMerriwell,,
The Adventures Of Frank Race,Detective,https://archive.org/details/OTRR_Frank_Race_Singles,,
The Adventures Of Horatio Hornblower,Mystery,https://archive.org/details/Adventures_of_Horatio_Hornblower,,
The Adventures Of Jane Arden,Detective,,,
The Adventures Of Johnny Lujack,Drama,,,
The Adventures Of Maisie,Comedy,https://archive.org/details/Maisie,,
The Adventures Of Michael Shayne,Detective,https://archive.org/details/TheNewAdventuresOfMichaelShaynePrivateDetective,,
The Adventures Of Nero Wolfe,Detective,https://archive.org/details/OTRR_New_Adventures_of_Nero_Wolfe_Singles,,
The Adventures Of Ozzie And Harriet,Comedy,https://archive.org/details/AdventuresOfOzzie_Harriet,,
The Adventures Of Paul Temple ,Detective,,,
The Adventures Of Philip Marlowe,Detective,https://archive.org/details/OTRR_Philip_Marlowe_Singles,,
The Adventures Of Robin Hood,Drama,,,
The Adventures Of Rocky Jordan,Crime Drama,,,
The Adventures Of Sally In Hollywood Land,Unknown,,,
The Adventures Of Sam Spade,Detective,https://archive.org/details/TheAdventuresOfSamSpade481031TheFairleyBrightCaper,,
The Adventures Of The Scarlet Cloak,Western,https://archive.org/details/Otr-adventuresOfTheScarletCloak-auditionEpisode50-2-15.mp3,,
The Al Pearce Show,Comedy,,,
The Aladdin Kerosene Mantle Lamp Program,Thriller,,,
The Alan Young Show,Comedy,https://archive.org/details/AlanYoungShow_259,,
The Amazing Mr. Malone,Drama,,,
The Amazing Mr. Tutt,Drama,,,
The Andrews Sisters,Variety,https://archive.org/details/AndrewsSisters451128AbbottAndCostello,,
The Avenger,Superhero,https://archive.org/details/Avenger_681,,
The Babbitt Sisters In Another Part Of Hollywoo,Drama,,,
The Baby Snooks Show,Comedy,https://archive.org/details/OTR_Baby-Snooks,,
The Baker's Broadcast,Variety,,,
The Barbara Welles Show,Talk Show,,,
The Beatrice Kaye Show,Comedy,,,
The Ben Bernie Show,Variety,,,
The Better Half,Game Show,,,
The Beulah Show,Comedy,https://archive.org/details/TheBeulahShow,,
The Bickersons,Comedy,https://archive.org/details/TheBickersons54Episodes,,
The Big Guy,Detective,,,
The Big Story,Newspaper Drama,https://archive.org/details/OTRR_Big_Story_Singles,,
The Big Time,Unknown,,,
The Billy Gray Bandbox,Music,,,
The Billy May Show,Unknown,,,
The Bing Crosby Show,Variety,,,
The Black Book,Mystery,https://archive.org/details/TheBlackBookOTR,,
The Blue Beetle,Superhero,https://archive.org/details/OTRR_Blue_Beetle_Singles,,
The Bob And Ray Show,Comedy,https://archive.org/details/otr_bobandray,,
The Bob Burns Program,Variety,,,
The Bob Crosby Show,Variety,,,
The Bob Hope Show,Variety,https://archive.org/details/otr_bobhopeshow,,
The Bob Smith Show,Variety,,,
The Borden Program,Unknown,,,
The Canary Pet Show,Unknown,,,
The Casebook Of Gregory Hood,Detective,https://archive.org/details/CasebookOfGregoryHood,,
The Celanese Hour,Music,,,
The Charlie Mccarthy Show,Comedy,https://archive.org/details/CharlieMcCarthy47011910thAnniversaryShow,,
The Charlie Ruggles Show,Comedy,,,
The Charlotte Greenwood Show,Comedy,,,
The Chase,Drama,,,
The Chesterfield Music Shop,Music,,,
The Chesterfield Supper Club,Music,https://archive.org/details/ChesterfieldSupperClub,,
The Circle,Variety,,,
The Circle Arrow Show,Western,,,
The Cisco Kid,Western,https://archive.org/details/CiscoKid,,
The Clint Noble Program,Variety,,,
The Clock,Mystery,https://archive.org/details/TheClock_451,,
The Clyde Beatty Show,Adventure,https://archive.org/details/Clyde_Beatty_Show,,
The Cobbs,Comedy,,,
The Coca Cola Top Notchers,Documentary,https://archive.org/details/Coca-Cola_Top_Notchers,,
The Colgate House Party,Variety,,,
The Comedy Playhouse,Comedy,,,
The Comedy Writer,Comedy,,,
The Connee Boswell Show,Music,https://archive.org/details/Connee_Boswell_Show,,
The Count Of Monte Cristo,Drama,,,
The Country Editor,Unknown,,,
The Crime Club,Crime Drama,https://archive.org/details/OTRR_Crime_Club_Singles,,
The Crime Files Of Flamond,Detective,,,
The Cruise Of The Poll Parrot,Childrens,https://archive.org/details/OTRR_Cruise_Of_The_Poll_Parrot_Singles,,
The Curtain Of Time,Drama,,,
The Danny Kaye Show,Comedy,https://archive.org/details/dannykayeshow,,
The Day Of The Triffids,Science Fiction,,,
The Defense Rests,Drama,,,
The Doctor Fights,Drama,,,
The Don Ameche Show,Variety,,,
The Drene Show,Variety,,,
The Easy Aces,Comedy,https://archive.org/details/otr_easyaces,,
The Eddie And Ralph Show,Unknown,,,
The Eddie Bracken Show,Comedy,,,
The Eddie Cantor Show,Music,https://archive.org/details/EddieCantorShow480108GuestAlJolson,,
The Eddy Arnold Show,Variety,,,
The Elroy Hirsch Sports Show,Sports,,,
The Empire Builders,Drama,,,
The Enchanted Hour,Music,https://archive.org/details/TheEnchantedHour,,
The Endless Frontier,Documentary,,,
The Fact Finder,Unknown,,,
The Falstaff Show,Variety,,,
The Family Hour Of Stars,Drama,,,
The Fat Man,Detective,https://archive.org/details/otr_fatman,,
The Feeling Is Mutual,Unknown,,,
The Fighting Parson,Detective,,,
The Fire Chief Concert,Variety,,,
The Fire Chief Program,Comedy,https://archive.org/details/TheFireChief,,
The First Nighter Program,Drama,,,
The Fountain Of Fun,Comedy,,,
The Frances Langford Show,Music,https://archive.org/details/otr_franceslangfordshow,,
The Frank Fontaine Show,Comedy,,,
The Frank Morgan Show,Variety,,,
The Frank Parker Show,Variety,,,
The Fred Allen Show,Comedy,https://archive.org/details/FredAllen--theFredAllenShow1945-1949,,
The Fred Waring Show,Variety,,,
The Free Company,Drama,,,
The Garden Gate,Unknown,,,
The General,Unknown,,,
The General Motors Symphony Concert,Music,,,
The Gentleman Adventurer,Adventure,,,
The George Byron Show,Music,,,
The Good Gulf Program,Variety,,,
The Gordon Macrae Show,Variety,,,
The Gracie Fields Show,Variety,,,
The Great Gildersleeve,Comedy,https://archive.org/details/Otrr_The_Great_Gildersleeve_Singles,,
The Greatest Story Ever Told,Drama,,,
The Green Lama,Superhero,https://archive.org/details/GreenLama,,
The Grouch Club,Talk Show,,,
The Guy Lombardo Show,Variety,,,
The Halls Of Ivy,Comedy,https://archive.org/details/OTRR_Halls_Of_Ivy_Singles,,
The Happiness Boys,Variety,,,
The Hardy Family,Comedy,https://archive.org/details/OtrTheHardyFamily,,
The Harry Revel Show,Music,,,
The Harry Von Zell Show,Comedy,,,
The Harvest Of Stars,Variety,,,
The Henry Morgan Show,Comedy,https://archive.org/details/TheHenryMorganShowPartOne,,
The Hillman Hour,Variety,,,
The Hollywood Players,Drama,,,
The Honorable Archie,Comedy,,,
The Hoofers,Drama,,,
The Hotpoint Holiday Hour,Drama,,,
The House Of Glass,Comedy,,,
The Jack Benny Show,Comedy,https://archive.org/details/JackBenny1,,
The Jack Berch Show,Variety,,,
The Jack Carson Show,Variety,,,
The Jack Haley Show,Variety,,,
The Jack Kirkwood Show,Variety,,,
The Jack Paar Show,Comedy,https://archive.org/details/Jack_Paar_Show,,
The Jackie Hill Show,Unknown,,,
The James Melton Show,Variety,,,
The Jane Pickens Show,Music,,,
The Jimmy Durante And Garry Moore Show,Variety,https://archive.org/details/Jimmy_Durante_And_Garry_Moore_Show,,
The Jimmy Durante Show,Comedy/Variety,https://archive.org/details/TheJimmyDuranteShow,,
The Joan Davis Show,Comedy,,,
The Joe E Brown Show,Comedy,,,
The Joe Mcdoaks Show,Unknown,,,
The Joe Penner Show,Variety,,,
The John Charles Thomas Show,Variety,,,
The Judge,Detective,,,
The Judy Canova Show,Comedy,https://archive.org/details/The.Judy.Canova.Show,,
The Jumping Beans,Variety,,,
The Kenny Baker Show,Variety,,,
The Kid On The Corner,Comedy,,,
The Kiis Hall Of Horrors,Horror,,,
The Laurel And Hardy Show,Comedy,,,
The Lee Simms Show,Unknown,,,
The Les Paul Show,Music,https://archive.org/details/TheLesPaulShow,,
The Life Of Riley,Comedy,https://archive.org/details/TheLifeOfRiley,,
The Lifebuoy Show,Comedy,,,
The Light Of The World,Religion,,,
The Lion's Roar,Unknown,,,
The Listening Post,Unknown,,,
The Little Show,Comedy,,,
The Lives Of Harry Lime,Mystery,https://archive.org/details/TheLivesOfHarryLime,,
The Lone Ranger,Western,https://archive.org/details/The_Lone_Ranger_page1,,
The Louella Parsons Show,Variety,,,
The Magic Of Music,Music,,,
The Magnificent Montague,Comedy,https://archive.org/details/MagnificentMontague,,
The Man Behind The Masterpiece,Unknown,,,
The Man Called X,Thriller,https://archive.org/details/the_man_called_x,,
The Man In Black,Detective,,,
The Mario Lanza Show,Music,,,
The Marriage,Drama,https://archive.org/details/OTRR_Certified_The_Marriage,,
The Martin And Lewis Show,Comedy,https://archive.org/details/MartinAndLewis_OldTimeRadio,,
The Mary Small Show,Music,,,
The Mccoy,Detective,,,
The Mgm Theater Of The Air,Anthology,https://archive.org/details/MGMTheateroftheAir,,
The Mickey Mouse Theater Of The Air,Childrens,https://archive.org/details/MickeyMouseTheateroftheAir,,
The Milton Berle Show,Comedy,https://archive.org/details/Milton_Berle,,
The Mindy Carson Show,Music,,,
The Minstrel Train,Variety,,,
The Mitch Miller Show,Variety,,,
The Modern Adventures Of Casanova,Detective,,,
The Moonstone,Mystery,,,
The Mutual Radio Theater,Drama,,,
The Mysterious Traveler,Anthology,https://archive.org/details/TheMysteriousTraveler,,
The Nate Gross Show,Talk Show,,,
The Navel Air Reserve Show,Variety,,,
The Nelson Eddy Show,Variety,,,
The Nestle Program,Variety,,,
The New Swan Show,Variety,https://archive.org/details/New_Swan_Show_November_7_1948,,
The Notorious Tariq,Adventure,,,
The Old Gold Comedy Theater,Comedy,https://archive.org/details/OTRR_Old_Gold_Comedy_Theater_Singles,,
The Olsen And Johnson Show,Comedy,,,
The P.A.L. Show,Variety,,,
The Packard Hour,Variety,,,
The Packard Summer Hour,Variety,,,
The Paul Whiteman Show,Variety,,,
The Peggy Lee Show,Music,,,
The Penny Singleton Show,Comedy,,,
The Peter Donald Show,Unknown,,,
The Phil Harris - Alice Faye Show,Comedy,https://archive.org/details/PhilHarrisAliceFaye1949,,
The Price Of Silence,Drama,,,
The Private Life Of Rochester Van Jones,Comedy,https://archive.org/details/ThePrivateLifeOfRochesterVanJones,,
The Private Practice Of Dr Dana,Detective,,,
The Quick And The Dead,Western,,,
The Quiz Kids,Game Show,https://archive.org/details/QuizKids,,
The Radio Edition Of The Bible,Religion,,,
The Radio Hall Of Fame,Variety,https://archive.org/details/PhilcoRadioHallofFame,,
The Ransom Sherman Show,Variety,,,
The Ray Bolger Show,Variety,,,
The Red Nichols Show,Music,,,
The Revuers,Music,,,
The Road To Danger,Adventure,,,
The Roma Wine Show,Variety,,,
The Rosemary Clooney Show,Variety,,,
The Roy Rogers Show,Western,https://archive.org/details/The_Roy_Rogers_Show,,
The Ruggles,Comedy,https://archive.org/details/TheRugglesTheDriversTestPart1,,
The Sad Sack,Comedy,https://archive.org/details/TheSadSack,,
The Saint,Detective,https://archive.org/details/TheSaintVincentPriceOTR,,
The Saturday Night Bond Wagon,Variety,,,
The Sealed Book,Thriller,https://archive.org/details/OTRR_Sealed_Book_Singles,,
The Shadow,Superhero,https://archive.org/details/1985TheStoryOfTHESHADOWRadioDocumentary,,
The Sheila Graham Show,Non-Fiction,,,
The Show Goes On,Variety,,,
The Signal Carnival,Variety,,,
The Silver Eagle,Western,,,
The Six Shooter,Western,https://archive.org/details/OTRR_The_Six_Shooter_Singles,,
The Smiths Of Hollywood,Comedy,https://archive.org/details/SmithsOfHollywood,,
The Soft Songs Program,Music,,,
The Spike Jones Show,Music,https://archive.org/details/SpikeJones,,
The Stan Kenton Show,Variety,,,
The Star And The Story,Anthology,https://archive.org/details/PaymentInKind1955,,
The Steve Allen Show,Comedy,https://archive.org/details/SteveAllenShow500604WithEveArdenJackBennyGroucho,,
The Story Of Aunt Mary,Drama,,,
The Story Of Bud Barton,Comedy,,,
The Story Of Dr Kildare,Drama,https://archive.org/details/OTRR_Dr_Kildare_Singles,,
The Strange Dr. Weird,Mystery,https://archive.org/details/OTRR_Strange_Dr_Weird_Singles,,
The Tex And Jinx Show,Variety,,,
The Three Suns Show,Variety,,,
The Time The Place And The Tune,Variety,,,
The Tom Mix Ralston Straightshooters,Western,,,
The Tommy Dorsey Playshop,Variety,,,
The Voyage Of The Scarlet Queen,Adventure,https://archive.org/details/VoyageOfTheScarletQueen,,
The Wayne King Show,Music,,,
The Whisperer,Crime Drama,https://archive.org/details/TheWhisperer_420,,
The Winner,Unknown,,,
The Woody Woodpecker Show,Childrens,,,
The Wor Summer Theater,Mystery,,,
The Young In Heart,Drama,,,
The Zane Grey Show,Western,,,
Theater Five,Anthology,https://archive.org/details/OTRR_Theater_Five_Singles,,
Theater U.S.A,Variety,,,
Thirty Minutes In Hollywood,Variety,https://archive.org/details/ThirtyMinutesInHollywood371024GuestJudyGarland,,
This Fabulous World,Non-Fiction,,,
This Is Our America,Anthology,,,
This Is Your Fbi,Crime Drama,https://archive.org/details/thisisyourfbi2,,
This Is Your Life,Comedy,,,
Three Of A Kind,Comedy,,,
Three Pairs And An Ace,Variety,,,
Three Strikes And You're Out,Game Show,,,
Time For Love,Drama,,,
Time Out For Comment,Unknown,,,
Time Out With Allen Prescott,Music,,,
Too Many Cooks,Comedy,,,
Top Secret,Mystery,https://archive.org/details/Top_Secret,,
Tops In Sports,Sports,,,
Trommer's Troopers,Comedy,,,
Tune Time,Music,,,
Tune Up America,Music,,,
Turk Murphy And His Dixieland Band,Music,,,
Twenty Questions,Game Show,,,
Uncle Ezra Show,Music,,,
Uncle Judge Ben,Unknown,,,
Up For Parole,Crime Drama,https://archive.org/details/UpForParole-Otr,,
Variations By Van Cleave,Music,,,
Vernon Crane's Storybook,Childrens,,,
Vicks Romantic Bachelor,Romance,,,
Victor Borge Show,Music,https://archive.org/details/OTRR_Victor_Borge_Collection_Singles,,
Violence,Detective,,,
Voices And Events,Documentary,,,
Waikiki Club,Unknown,,,
Wake-up Ranch,Variety,,,
Wanted,Detective,,,
War Town,War Drama,,,
Wayside Theatre,Drama,,,
We Are Always Young,Drama,,,
What's The Matter With Father,Drama,,,
White Fires Of Inspiration,Drama,,,
Wild Bill Hickok,Western,https://archive.org/details/WildBill,,
Witch's Tale,Horror,https://archive.org/details/WitchsTale1934,,
With Book And Pipe,Horror,,,
Women's Prison,Drama,,,
World's Greatest Novels,Drama,,,
X Minus One,Science Fiction,https://archive.org/details/OTRR_X_Minus_One_Singles,,
Yawn Patrol,Unknown,,,
Yes Or No,Unknown,,,
You Are The Jury,Drama,,,
You Bet Your Life,Game Show,https://archive.org/details/YouBetYourLife_530,,
You Can Be An Actor,Game Show,,,
You're Only Young Once,Comedy,,,
Young Love,Comedy,https://archive.org/details/YoungLove_85,,
Your Crossword Quiz,Game Show,,,
Your Daytime Radio Newspaper,Non-Fiction,,,
Your Hit Parade,Music,https://archive.org/details/YourHitParade_OTR_3419,,
Your Preview Theater Of The Air,Anthology,,,
Your Quarter Hour Serenade,Music,,,
Your Radio Almanac,Anthology,,,
Your Star Time,Unknown,,,
Your Story Parade,Childrens,,,
Zero Hour,Drama,,,